participant_type,participant_id,model_name,encoding_type,maze_size,maze_shape,solve_rate,solve_trials,recognize_rate,recognize_trials,generate_rate,generate_trials,edit_distance_mean,edit_distance_median,edit_distance_std
human,20010925,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,20010925,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20010925,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.08163265306122448,0.08163265306122448,
human,20010925,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.2653061224489796,0.2653061224489796,
human,20010925,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.061224489795918366,0.061224489795918366,
human,20011205,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20011205,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20011205,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20011205,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20011205,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20011205,human,visual,5x5,triangle,1.0,2,1.0,2,1.0,2,0.0,0.0,0.0
human,20011205,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
